id,texte,sentiment
310,"_Libertine um, glad you enjoyed it...",1
311,hi to all twit friends  happy mother`s day to all the beautiful and amazing mothers out there,1
312,today is going to be AH. Giving notice to my boss today. She is going to be upset  I`m totally stressed.,0
313,I miss her alot and its only been one day,0
314,Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,0
315,Thanks for sharing that,1
316,you should say mlia instead of fml  i hope you find it soon,1
317,"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.",1
318,"ok cause the one  S orange is still open. Whew, you just scared me. Sorry the one by you closed",0
319,i am living in ignorance  :@,0
320,"is my son - he gets my vote today coz he has grown into a loving, caring `soul-full` man - who loves his mum",1
321,she fell into deep crack in the glacier  so terrible,0
322,today was a lovely day! I had fun with  and  this evening!,1
323,Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,0
324,Well rite i gt a headache,0
325,it was amazing,1
326,I`m sick and sad .... missing out on Martini Lounge tonight,0
327,Training #Stud-Life: A fost Tiberiu Lovin la noi. Am aflat ca sunt imbecili peste tot. FUN,1
328,"Aw, not going to Toronto anymore.",0
329,break a leg  but don`t do it for real it just a saying :p ' good luck',1
330,I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,1
331,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,0
332,I hate you,0
333,sweet dreams,1
334,nope no love,0
335,haha thanks  its for history and its on how the invention of television has influence america lol,1
336,"Stupid jobs, idk what to do.",0
337,Shopped til i dropped....come bac sunshine i miss u,0
338,"Like your pics, Lucky Girl, again",1
339,Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,1
340,Not any more.,0
341,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,0
342,watching shows I missed on the ellipital--- love my on-demand!,1
343,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes",0
344,"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",0
345,So I slept 12 hrs! My body is aching,0
346,bad hair day,0
347,.....headache,0
348,sorry guys i didn`t sign in for a while  sorry every1,0
349,_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!,1
350,the video on myspace is so funny...u run a lot hahaha i voted,1
351,"http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",1
352,happy mother`s day mothers.,1
353,Stupid bipolar weather ruined my day off,0
354,I didn`t want to tell you but I think it`s your body odour,0
355,thats pretty bad quality and probably the worst pic u posted till date,0
356,I missed your calls,0
357,"is Chillin`, listening to Tunes",1
358,i feel like **** right now and i have one more month of school left  FML HARD,0
359,Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,1
360,_ I had curry shrimp yesterday lol I love seafood,1
361,Just got back from working out. I`m feeling pretty good. work at 4:30,1
362,"So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",1
363,DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,1
364,working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,0
365,I submitted my resume the same day and saw no answer back. Oh well...,0
366,I love when ryans a housewife. Makes me smile.,1
367,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,0
368,"Two months ago, I became worthless.",0
369,missed out on westcott micro apollo too,0
370,.. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,1
371,just tried DMing you but it tried to download some strange file so stopped!  How come no gmail MaccyM?  Missing you  SADS!!,0
372,_ranjan Did I ever mention what a nice and awesome dude you are?,1
373,yeah same here... I have a bit of headache too... ick,0
374,Ok that **** duet was hysterical LOL,1
375,"either way, you always tend to make my #followfriday list, sweetie - you do rock that much",1
376,"watched 100th episode of numb3rs. loved how they did a throwback to the first episode, using the sprinkler theory",1
377,I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,0
378,"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",1
379,"booziest weekend in a long time, good fun though!",1
380,listening to her stolen music. just loved it cause its free!,1
381,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",0
382,Ok then have a good day,1
383,im back to this z-index problem...again,0
384,is anyone out there??  so bored at work...,0
385,Am hating my life at the moment. There`s only so many NOs my delicate little mind can take,0
386,first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,0
387,says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,1
388,i may cry **** this weather got my **** burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha,0
389,_michele thanks for that...am now following them...love good causes,1
390,"_ri_ja good morning, It`s nice to see you!",1
391,Waiting for 5:00 & having cramps,0
392,John making me wear a mask and gloves at work cause I`m sick. Says he doesn`t want to catch swine flu.  http://yfrog.com/02mxjj,0
393,1st presentation for senior boards? FML,0
394,"lol i know but it was just so funny, ahaha",1
395,Wide awake and grouchy as ****.,0
396,"just when i thought things couldn`t get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",0
397,"lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",1
398,_kap But I think it`s cute.  Do this every night okay?,1
399,Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,1
400,wheres the music mannnn!!?? my inbox is still empty,0
401,doesn`t know what to do this evening & is D R E A D I N G work tomorrow  it sucks.,0
402,"...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",0
403,I`m here!... Jdubb is @ his funky job...I guess.. We`re neglected,0
404,Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,1
405,"Sorry to hear that.  If I didn`t already so much planned this weekend, I`d have considered going too.",0
406,I lost my artistic abilities,0
407,I had a great date last night...tried to find the CDCaves with Daniel  it was HILARIOUSLY FUN!!!,1
408,_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!,1
409,Crisis: forgot my fringe comb  I`m with men....no one will help me,0
410,Ow. Sunburn hurts!,0
411,hey ive seen the musical live its funny lol,1
412,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",0
413,"busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!",1
414,_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- BOOHOOOOOOOOOOO,0
415,Eating a dillybar from DQ! Yuuum,1
416,Have a great time in London,1
417,In the emergency room with my cousin. She`s got mad flu and can`t walk or breathe.  Why are hospitals always so cold?,0
418,"Don`t worry, you`ll get your stamina back soon  What kind of distances do you run usually?",1
419,http://twitpic.com/4wb52 - Such a pretty baby!,1
420,jungle book 2 is sooooo cute.. i have nothing to eat or drink,1
421,Anything for . So sorry man  I am not a patsy generally...,0
422,"getting off for the night, in such a great mood!",1
423,"nah, you`re just altered forever   Enjoy.",1
424,"i miss that place, but miss wegmans even more. whole foods != wegmans",0
425,haha. It does have a nice ring to it (: Lets get used to that. ok! iloveyoutoo.,1
426,Yeah I`m okay been icing and ace bandage and sitting on my **** on twitter... LOL Thanks,1
427,you`re so gorgeous!!,1
428,Thank you for the follow friday love,1
429,rofl uh huh,1
430,This was funny! I have 7.,1
431,"Yep. I hope my lame attempt with the spaces helped me to hinder them, lol. I know tomorrow I guess.",1
432,has a terrible headache.  I need relief!,0
433,"Two months ago, I became irrelevant.",0
434,Finally sunny days and I`m too sick to go outside and play.,0
435,"Sometimes after a long weekend, you just need good conversation. thanks bro",1
436,Working up to my vacation to Thailand. Getting more excited every day,1
437,I wish I could see dramafest SO BAD.,0
438,"I`m game, too bad your leaving HI!",0
439,So screwed for sat 2 us,0
440,My phone does not work in the DONS,0
441,listening to `s Without Your Love...hes so tortured in that song...makes me sad,0
442,"Good stuff, Smiles back? Why won`t you go to his concert too? :o. Wish I could instead of doing my music which is failing  lol x",1
443,i never knew a dentention was so hard 2 get,0
444,pacquiao fight was fun at home wif fam and melissa sat.    today was a mission to ikea. srsly 4 different freeways to ge to burbank.,1
